payment_id,merchant_id,created_at,merchant_txn_count_5min,merchant_decline_rate_5min,merchant_unique_devices_5min,merchant_unique_ips_5min,merchant_unique_card_bins_5min,amount_zscore_vs_merchant_history,seconds_since_last_txn_device,seconds_since_last_txn_ip,hour_of_day,is_card,is_new_customer,is_low_ticket,is_attack,attack_window_id
pay_44bcefa241f5,merch_0007,2026-01-01 00:00:58,1.0,1.0,1,1,1,-170.81735461441212,86400.0,86400.0,0,0,0,0,0,
pay_e5055cecde62,merch_0007,2026-01-01 00:00:59,2.0,0.5,2,2,2,-468.1399999999999,86400.0,86400.0,0,1,0,0,0,
pay_2fa671f59c51,merch_0007,2026-01-01 00:01:21,3.0,0.3333333333333333,3,3,3,4.080719366695486,86400.0,86400.0,0,1,1,0,0,
pay_138a94e5dd36,merch_0004,2026-01-01 00:01:33,1.0,0.0,1,1,1,-1309.4308184507504,86400.0,86400.0,0,1,1,0,0,
pay_d41adaf62d67,merch_0007,2026-01-01 00:01:48,4.0,0.25,4,4,4,-1.8373550364960962,86400.0,86400.0,0,0,0,1,0,
pay_0d3d4f1c08ea,merch_0005,2026-01-01 00:02:10,1.0,0.0,1,1,1,-4359.785042501837,86400.0,86400.0,0,1,0,0,0,
pay_f34a62e7b337,merch_0006,2026-01-01 00:02:40,1.0,0.0,1,1,1,-489.43478993484587,86400.0,86400.0,0,1,1,0,0,
pay_e2e3be88299c,merch_0005,2026-01-01 00:02:56,2.0,0.0,2,2,2,267.6700000000001,86400.0,86400.0,0,1,0,0,0,
pay_a7d8c8be138c,merch_0003,2026-01-01 00:03:01,1.0,0.0,1,1,1,1599.6243485646337,86400.0,86400.0,0,0,0,0,0,
pay_ec5b3ed420e3,merch_0002,2026-01-01 00:03:02,1.0,0.0,1,1,1,167.55500960543804,86400.0,86400.0,0,1,1,0,0,
pay_8dbc1cbeba98,merch_0006,2026-01-01 00:03:05,2.0,0.0,2,2,1,88.48999999999978,86400.0,86400.0,0,1,0,0,0,
pay_531d18cd57fe,merch_0007,2026-01-01 00:03:45,5.0,0.2,5,5,4,-1.1143934024050481,86400.0,86400.0,0,1,0,1,0,
pay_6cc6b6eaf64b,merch_0002,2026-01-01 00:03:47,2.0,0.0,2,2,2,4576.18,86400.0,86400.0,0,1,1,0,0,
pay_30446012ea25,merch_0007,2026-01-01 00:03:57,6.0,0.16666666666666666,6,6,5,-0.8596495805032597,86400.0,86400.0,0,1,1,1,0,
pay_8901677d7de9,merch_0002,2026-01-01 00:04:02,3.0,0.0,3,3,2,-0.31694938345297735,86400.0,86400.0,0,1,0,0,0,
pay_58f56409761c,merch_0003,2026-01-01 00:04:13,2.0,0.0,2,2,2,-5145.09,86400.0,86400.0,0,0,1,0,0,
pay_bb1573ebf1b8,merch_0002,2026-01-01 00:05:02,4.0,0.0,4,4,3,-1.1261480697487516,86400.0,86400.0,0,1,0,0,0,
pay_8cef75f88a21,merch_0006,2026-01-01 00:05:28,3.0,0.0,3,3,2,16.20544268633895,86400.0,86400.0,0,0,1,0,0,
pay_8cb265304272,merch_0005,2026-01-01 00:06:21,3.0,0.0,3,3,3,14.984815013018864,86400.0,86400.0,0,1,1,0,0,
pay_e0592f887786,merch_0002,2026-01-01 00:06:25,5.0,0.0,5,5,3,-0.8184551929905738,86400.0,86400.0,0,0,0,0,0,
pay_bf78610ddc15,merch_0004,2026-01-01 00:06:46,1.0,0.0,2,2,2,5224.0999999999985,86400.0,86400.0,0,1,0,0,0,
pay_26662bdc13ee,merch_0007,2026-01-01 00:06:48,3.0,0.0,7,7,5,1.3730132162628919,86400.0,86400.0,0,0,1,0,0,
pay_fce5c73c5dd2,merch_0000,2026-01-01 00:07:19,1.0,0.0,1,1,1,-198.98275008253563,86400.0,86400.0,0,1,0,0,0,
pay_b03338582652,merch_0005,2026-01-01 00:07:47,3.0,0.0,4,4,4,1.7831448064490525,86400.0,86400.0,0,1,1,0,0,
pay_9d9191d012b8,merch_0007,2026-01-01 00:08:30,4.0,0.0,8,8,5,-0.15477912050318798,86400.0,86400.0,0,1,0,0,0,
pay_883e278badfe,merch_0005,2026-01-01 00:09:03,3.0,0.0,5,5,4,-1.4912896938814675,86400.0,86400.0,0,1,1,1,0,
pay_28864ded46a8,merch_0005,2026-01-01 00:09:23,4.0,0.0,6,6,5,0.5103896157475855,86400.0,86400.0,0,1,0,0,0,
pay_04eadebc7fd8,merch_0001,2026-01-01 00:09:38,1.0,0.0,1,1,1,-2532.322720750552,86400.0,86400.0,0,0,0,0,0,
pay_a0fddc7df7b5,merch_0003,2026-01-01 00:10:04,1.0,0.0,3,3,2,1.5513871296712578,86400.0,86400.0,0,0,0,0,0,
pay_93038137c51e,merch_0003,2026-01-01 00:10:34,2.0,0.0,4,4,2,0.7022037504563324,86400.0,86400.0,0,1,0,0,0,
pay_c35bc829b47c,merch_0002,2026-01-01 00:10:41,2.0,0.0,6,6,4,2.4558311797706147,86400.0,86400.0,0,0,1,0,0,
pay_cdb1f99ca12e,merch_0003,2026-01-01 00:10:43,3.0,0.0,5,5,3,-0.37608664929137064,86400.0,86400.0,0,1,0,0,0,
pay_34ef07e85ff6,merch_0001,2026-01-01 00:10:57,2.0,0.0,2,2,2,4699.879999999999,86400.0,86400.0,0,0,0,0,0,
pay_13fcc4db4a49,merch_0006,2026-01-01 00:10:58,1.0,0.0,4,4,3,7.235313790394062,86400.0,86400.0,0,1,0,0,0,
pay_7bd73e81ec06,merch_0006,2026-01-01 00:11:30,2.0,0.0,5,5,3,-1.4939116464395916,86400.0,86400.0,0,0,0,0,0,
pay_2e82b822301e,merch_0003,2026-01-01 00:11:59,4.0,0.0,6,6,4,-1.1092802274135327,86400.0,86400.0,0,1,0,0,0,
pay_b5f833df822d,merch_0003,2026-01-01 00:12:05,5.0,0.0,7,7,4,0.1932291490991558,86400.0,86400.0,0,1,0,0,0,
pay_244322b3d38c,merch_0003,2026-01-01 00:12:35,6.0,0.0,8,8,4,0.7484149284097339,86400.0,86400.0,0,0,0,0,0,
pay_b9180f889a8f,merch_0001,2026-01-01 00:12:41,3.0,0.0,3,3,3,-0.12731556983916195,86400.0,86400.0,0,1,0,0,0,
pay_7721ed402715,merch_0004,2026-01-01 00:13:08,1.0,0.0,3,3,2,1.1211596871005372,86400.0,86400.0,0,1,0,0,0,
pay_859c077fe87f,merch_0007,2026-01-01 00:13:24,2.0,0.0,9,9,6,-0.3502190173619637,86400.0,86400.0,0,0,0,0,0,
pay_13593129b346,merch_0003,2026-01-01 00:14:01,7.0,0.0,9,9,5,-0.2184274236475412,86400.0,86400.0,0,1,0,0,0,
pay_f5a80f890944,merch_0007,2026-01-01 00:14:22,2.0,0.0,10,10,7,-0.834166173161803,86400.0,86400.0,0,0,0,0,0,
pay_f2e1108dc6f0,merch_0007,2026-01-01 00:14:48,3.0,0.0,11,11,7,-0.4190869947369876,86400.0,86400.0,0,0,0,0,0,
pay_acdce436c31d,merch_0006,2026-01-01 00:16:07,2.0,0.0,6,6,3,-0.35919663252124767,86400.0,86400.0,0,1,0,0,0,
pay_3a711ca04597,merch_0003,2026-01-01 00:16:10,5.0,0.0,10,10,5,0.1911220833429698,86400.0,86400.0,0,0,0,0,0,
pay_12c6f604167b,merch_0005,2026-01-01 00:17:11,1.0,0.0,7,7,6,0.5984861911299078,86400.0,86400.0,0,1,0,0,0,
pay_f0c66f979a02,merch_0007,2026-01-01 00:17:24,4.0,0.25,12,12,7,1.1636597480815993,86400.0,86400.0,0,1,0,0,0,
pay_3db06e2f609a,merch_0004,2026-01-01 00:17:42,2.0,0.0,4,4,3,0.6086754754226992,86400.0,86400.0,0,1,0,0,0,
pay_50a6c0445f3f,merch_0007,2026-01-01 00:17:53,5.0,0.4,13,13,7,-0.47659329715146226,86400.0,86400.0,0,1,1,0,0,
pay_4515fa496b65,merch_0002,2026-01-01 00:18:40,1.0,0.0,7,7,4,0.29296777088581655,86400.0,86400.0,0,1,1,0,0,
pay_33b05e68b29e,merch_0004,2026-01-01 00:19:36,2.0,0.0,5,5,4,-1.7641856868181773,86400.0,86400.0,0,1,0,0,0,
pay_597fb03bd40b,merch_0001,2026-01-01 00:20:31,1.0,0.0,4,4,4,1.6621442477036183,86400.0,86400.0,0,1,0,0,0,
pay_c99ce9f14253,merch_0003,2026-01-01 00:20:59,2.0,0.0,11,11,5,-0.2736503662667204,86400.0,86400.0,0,1,1,0,0,
